TimeID,Value
1,00:00:00
2,00:00:01
3,00:00:02
4,00:00:03
5,00:00:04
6,00:00:05
7,00:00:06
8,00:00:07
9,00:00:08
10,00:00:09
11,00:00:10
12,00:00:11
13,00:00:12
14,00:00:13
15,00:00:14
16,00:00:15
17,00:00:16
18,00:00:17
19,00:00:18
20,00:00:19
21,00:00:20
22,00:00:21
23,00:00:22
24,00:00:23
25,00:00:24
26,00:00:25
27,00:00:26
28,00:00:27
29,00:00:28
30,00:00:29
31,00:00:30
32,00:00:31
33,00:00:32
34,00:00:33
35,00:00:34
36,00:00:35
37,00:00:36
38,00:00:37
39,00:00:38
40,00:00:39
41,00:00:40
42,00:00:41
43,00:00:42
44,00:00:43
45,00:00:44
46,00:00:45
47,00:00:46
48,00:00:47
49,00:00:48
50,00:00:49
51,00:00:50
52,00:00:51
53,00:00:52
54,00:00:53
55,00:00:54
56,00:00:55
57,00:00:56
58,00:00:57
59,00:00:58
60,00:00:59
61,00:01:00
62,00:01:01
63,00:01:02
64,00:01:03
65,00:01:04
66,00:01:05
67,00:01:06
68,00:01:07
69,00:01:08
70,00:01:09
71,00:01:10
72,00:01:11
73,00:01:12
74,00:01:13
75,00:01:14
76,00:01:15
77,00:01:16
78,00:01:17
79,00:01:18
80,00:01:19
81,00:01:20
82,00:01:21
83,00:01:22
84,00:01:23
85,00:01:24
86,00:01:25
87,00:01:26
88,00:01:27
89,00:01:28
90,00:01:29
91,00:01:30
92,00:01:31
93,00:01:32
94,00:01:33
95,00:01:34
96,00:01:35
97,00:01:36
98,00:01:37
99,00:01:38
100,00:01:39
101,00:01:40
102,00:01:41
103,00:01:42
104,00:01:43
105,00:01:44
106,00:01:45
107,00:01:46
108,00:01:47
109,00:01:48
110,00:01:49
111,00:01:50
112,00:01:51
113,00:01:52
114,00:01:53
115,00:01:54
116,00:01:55
117,00:01:56
118,00:01:57
119,00:01:58
120,00:01:59
121,00:02:00
122,00:02:01
123,00:02:02
124,00:02:03
125,00:02:04
126,00:02:05
127,00:02:06
128,00:02:07
129,00:02:08
130,00:02:09
131,00:02:10
132,00:02:11
133,00:02:12
134,00:02:13
135,00:02:14
136,00:02:15
137,00:02:16
138,00:02:17
139,00:02:18
140,00:02:19
141,00:02:20
142,00:02:21
143,00:02:22
144,00:02:23
145,00:02:24
146,00:02:25
147,00:02:26
148,00:02:27
149,00:02:28
150,00:02:29
151,00:02:30
152,00:02:31
153,00:02:32
154,00:02:33
155,00:02:34
156,00:02:35
157,00:02:36
158,00:02:37
159,00:02:38
160,00:02:39
161,00:02:40
162,00:02:41
163,00:02:42
164,00:02:43
165,00:02:44
166,00:02:45
167,00:02:46
168,00:02:47
169,00:02:48
170,00:02:49
171,00:02:50
172,00:02:51
173,00:02:52
174,00:02:53
175,00:02:54
176,00:02:55
177,00:02:56
178,00:02:57
179,00:02:58
180,00:02:59
181,00:03:00
182,00:03:01
183,00:03:02
184,00:03:03
185,00:03:04
186,00:03:05
187,00:03:06
188,00:03:07
189,00:03:08
190,00:03:09
191,00:03:10
192,00:03:11
193,00:03:12
194,00:03:13
195,00:03:14
196,00:03:15
197,00:03:16
198,00:03:17
199,00:03:18
200,00:03:19
201,00:03:20
202,00:03:21
203,00:03:22
204,00:03:23
205,00:03:24
206,00:03:25
207,00:03:26
208,00:03:27
209,00:03:28
210,00:03:29
211,00:03:30
212,00:03:31
213,00:03:32
214,00:03:33
215,00:03:34
216,00:03:35
217,00:03:36
218,00:03:37
219,00:03:38
220,00:03:39
221,00:03:40
222,00:03:41
223,00:03:42
224,00:03:43
225,00:03:44
226,00:03:45
227,00:03:46
228,00:03:47
229,00:03:48
230,00:03:49
231,00:03:50
232,00:03:51
233,00:03:52
234,00:03:53
235,00:03:54
236,00:03:55
237,00:03:56
238,00:03:57
239,00:03:58
240,00:03:59
241,00:04:00
242,00:04:01
243,00:04:02
244,00:04:03
245,00:04:04
246,00:04:05
247,00:04:06
248,00:04:07
249,00:04:08
250,00:04:09
251,00:04:10
252,00:04:11
253,00:04:12
254,00:04:13
255,00:04:14
256,00:04:15
257,00:04:16
258,00:04:17
259,00:04:18
260,00:04:19
261,00:04:20
262,00:04:21
263,00:04:22
264,00:04:23
265,00:04:24
266,00:04:25
267,00:04:26
268,00:04:27
269,00:04:28
270,00:04:29
271,00:04:30
272,00:04:31
273,00:04:32
274,00:04:33
275,00:04:34
276,00:04:35
277,00:04:36
278,00:04:37
279,00:04:38
280,00:04:39
281,00:04:40
282,00:04:41
283,00:04:42
284,00:04:43
285,00:04:44
286,00:04:45
287,00:04:46
288,00:04:47
289,00:04:48
290,00:04:49
291,00:04:50
292,00:04:51
293,00:04:52
294,00:04:53
295,00:04:54
296,00:04:55
297,00:04:56
298,00:04:57
299,00:04:58
300,00:04:59
301,00:05:00
302,00:05:01
303,00:05:02
304,00:05:03
305,00:05:04
306,00:05:05
307,00:05:06
308,00:05:07
309,00:05:08
310,00:05:09
311,00:05:10
312,00:05:11
313,00:05:12
314,00:05:13
315,00:05:14
316,00:05:15
317,00:05:16
318,00:05:17
319,00:05:18
320,00:05:19
321,00:05:20
322,00:05:21
323,00:05:22
324,00:05:23
325,00:05:24
326,00:05:25
327,00:05:26
328,00:05:27
329,00:05:28
330,00:05:29
331,00:05:30
332,00:05:31
333,00:05:32
334,00:05:33
335,00:05:34
336,00:05:35
337,00:05:36
338,00:05:37
339,00:05:38
340,00:05:39
341,00:05:40
342,00:05:41
343,00:05:42
344,00:05:43
345,00:05:44
346,00:05:45
347,00:05:46
348,00:05:47
349,00:05:48
350,00:05:49
351,00:05:50
352,00:05:51
353,00:05:52
354,00:05:53
355,00:05:54
356,00:05:55
357,00:05:56
358,00:05:57
359,00:05:58
360,00:05:59
361,00:06:00
362,00:06:01
363,00:06:02
364,00:06:03
365,00:06:04
366,00:06:05
367,00:06:06
368,00:06:07
369,00:06:08
370,00:06:09
371,00:06:10
372,00:06:11
373,00:06:12
374,00:06:13
375,00:06:14
376,00:06:15
377,00:06:16
378,00:06:17
379,00:06:18
380,00:06:19
381,00:06:20
382,00:06:21
383,00:06:22
384,00:06:23
385,00:06:24
386,00:06:25
387,00:06:26
388,00:06:27
389,00:06:28
390,00:06:29
391,00:06:30
392,00:06:31
393,00:06:32
394,00:06:33
395,00:06:34
396,00:06:35
397,00:06:36
398,00:06:37
399,00:06:38
400,00:06:39
401,00:06:40
402,00:06:41
